Composante	Categorie	SousCategorie	Description	Organisation	Contact	Contact2	URL	Communication	Priorite1	Priorite2	Commentaire
CV	Intégrité des berges	Taux d'érosion côtière	NA	MELCC-UQAR-UL	Sarah Aubé-Michaud | Elisabeth Bussières	Joannie Ferland	NA	2	6	1	Projet avec Patrick Lajeunesse et Pascal Bernatchez. Voir avec Joannie Ferland
CV	Intégrité des berges	Apport sédimentaire	NA	MELCC-UQAR-UL	Sarah Aubé-Michaud | Elisabeth Bussières	Joannie Ferland	NA	2	6	1	Projet avec Patrick Lajeunesse et Pascal Bernatchez. Voir avec Joannie Ferland
CV	Intégrité des berges	Artificialisation côtière	NA	MELCC-UQAR-UL	Sarah Aubé-Michaud | Elisabeth Bussières	Joannie Ferland	NA	2	6	1	Projet avec Patrick Lajeunesse et Pascal Bernatchez. Voir avec Joannie Ferland
CV	Utilisation du territoire	Pêches traditionnelles	NA	AGHAMM	NA	NA	NA	2	4	1	Atlas
CV	Utilisation du territoire	Pêches traditionnelles	NA	GCNWA	NA	NA	NA	2	4	2	NA
CV	Utilisation du territoire	Pêches traditionnelles	NA	Kahnawake	NA	NA	NA	2	4	2	NA
CV	Utilisation du territoire	Pêches commerciales autochtones	NA	AGHAMM	NA	NA	NA	2	4	1	Atlas
CV	Utilisation du territoire	Chasse traditionnelle	NA	GCNWA	NA	NA	NA	2	4	2	NA
CV	Utilisation du territoire	Sites aquicoles	NA	MAPAQ	NA	NA	NA	2	4	2	NA
CV	Utilisation du territoire	Sites aquicoles	NA	AGHAMM	NA	NA	NA	2	4	1	Atlas
CV	Utilisation du territoire	Sites aquicoles	NA	SODIM	NA	NA	NA	2	4	2	NA
CV	Utilisation du territoire	Sites aquicoles	NA	Fermes marines du Québec	NA	NA	NA	2	4	2	NA
CV	Utilisation du territoire	Sites cueillette récréative mollusque	Ouvertures et fermetures de zones de cueillette de mollusques	MPO	NA	NA	https://www.dfo-mpo.gc.ca/shellfish-mollusques/closures-fermetures-fra.htm	2	4	1	NA
CV	Utilisation du territoire	Sites cueillette commerciale mollusque	NA	MPO	NA	NA	NA	2	4	2	NA
CV	Utilisation du territoire	Autres activités traditionnelles	NA	GCNWA	NA	NA	NA	2	4	2	NA
CV	Mammifères marins	Distribution ou occurrence	NA	ROMM	NA	NA	NA	2	2	1	NA
CV	Mammifères marins	Distribution ou occurrence	NA	GREMM	NA	NA	NA	2	2	1	NA
CV	Mammifères marins	Distribution ou occurrence	NA	MICS	NA	NA	NA	2	2	1	NA
CV	Mammifères marins	Distribution ou occurrence	Portrait de la navigation 2017 au parc marin (excursions, plaisance, transport maritime, kayak,...)	Parc Marin Saguenay Saint-Laurent	NA	NA	NA	2	2	1	NA
CV	Mammifères marins	Distribution ou occurrence	NA	MPO	NA	NA	NA	2	2	1	NA
CV	Mammifères marins	Distribution ou occurrence	NA	OGSL	NA	NA	https://ogsl.ca/bio/?lg=fr	2	2	2	NA
CV	Mammifères marins	Distribution ou occurrence	Summary_incident_reports_marine_mammals_collision_entaglement.docx	NA	NA	NA	NA	1	2	1	NA
CV	Mammifères marins	Distribution ou occurrence	Rapport_AOM_1994_2015_Martins_2016.pdf	NA	NA	NA	NA	1	2	1	NA
CV	Mammifères marins	Habitats essentiels	NA	MPO	NA	NA	NA	2	2	2	NA
CV	Mammifères marins	Habitats essentiels	NA	MFFP	NA	NA	NA	2	2	2	NA
CV	Mammifères marins	Zones d'alimentation	NA	MPO	NA	NA	NA	2	2	2	NA
CV	Mammifères marins	Zones d'alimentation	NA	MFFP	NA	NA	NA	2	2	2	NA
CV	Mammifères marins	Rorqual bleu	Observations de rorqual bleu dans l'estuaire et le golfe du Saint-Laurent	MPO	NA	NA	https://ouvert.canada.ca/data/fr/dataset/d29def12-36f2-4518-8758-896d9fb1f40d	2	2	1	NA
CV	Mammifères marins	Rorqual bleu	Aires importantes d'alimentation, de recherche de nourriture et de migration des baleines bleues dans l'est du Canada	MPO	NA	NA	https://ouvert.canada.ca/data/fr/dataset/8fafd919-fcbe-43a3-a911-3d9461273441	2	2	1	NA
CV	Mammifères marins	Rorqual à bosse	Distribution générale des rorquals à bosse dans l'estuaire et le golfe du Saint-Laurent	MPO	NA	NA	https://ouvert.canada.ca/data/fr/dataset/8cf43e2b-f276-4fb7-8d3a-e20fecc618b4	2	2	1	NA
CV	Mammifères marins	Béluga	Habitat essentiel du béluga dans le Saguenay et l'estuaire du Saint-Laurent	MPO	NA	NA	https://ouvert.canada.ca/data/fr/dataset/fdfef550-b94c-466c-9dcb-24c297c00e3e	2	2	1	NA
CV	Mammifères marins	Béluga	La protection des habitats de la population de bélugas (Delphinapterus leucas) du Saint-Laurent : bilan et considérations sur les besoins de conservation	Parcs Canada	Nadia Ménard	NA	https://www.erudit.org/en/journals/natcan/1900-v1-n1-natcan03735/1047151ar/abstract/	2	2	1	NA
CV	Mammifères marins	Béluga	Documentation of Maritime Traffic and Navigational Interactions with St. Lawrence Estuary Beluga (Delphinaterus leucas) in Calving Areas Between 2003 and 2012	MPO	Nadia Ménard	NA	https://ponttadoussac.ca/wp-content/uploads/2015/03/belugastudy.pdf	2	2	1	NA
CV	Mammifères marins	Béluga	Caractérisation de l'utilisation de l'embouchure du Saguenay et de la baie Sainte-Marguerite par le béluga du Saint-Laurent et par le trafic maritime entre 2003 et 2016	Parcs Canada	NA	NA	http://pcacdn.azureedge.net/-/media/amnc-nmca/qc/saguenay/WET4/Publications-scientific/Conversano-et-al-2017Caractrisation-de-lutilisation-EMB-et-BSM.pdf	2	2	1	NA
CV	Mammifères marins	Phoque gris	NA	MPO	NA	NA	NA	2	2	2	NA
CV	Mammifères marins	Phoque commun	NA	MPO	NA	NA	NA	2	2	2	NA
